,noise level,max amplitude,above-thld pixels,above-thld pixels std,algorithm,c,reg,eps
27,0.2,0.0005421518037172358,"[[ 0  0  0 ... 49 49 49]
 [11 12 13 ... 34 35 36]]","[[458.28839245]
 [456.91769214]]",kbcm,-0.5,0.1,
28,0.2,0.0005319825005349557,"[[ 0  0  0 ... 49 49 49]
 [ 9 10 11 ... 38 39 40]]","[[471.50531554]
 [471.07766129]]",kbcm,-0.5,0.25,
29,0.2,0.0005046043974327927,"[[ 0  0  0 ... 49 49 49]
 [ 4  5  6 ... 43 44 45]]","[[499.79389578]
 [499.79389578]]",kbcm,-0.5,0.4,
30,0.2,0.000489326675681255,"[[ 0  0  0 ... 49 49 49]
 [ 0  1  2 ... 46 47 48]]","[[509.61923964]
 [509.61971116]]",kbcm,-0.5,0.5,
31,0.2,0.00047709238514138285,"[[ 0  0  0 ... 49 49 49]
 [ 0  1  2 ... 47 48 49]]","[[510.2082908]
 [510.2082908]]",kbcm,-0.5,0.6,
32,0.2,,[],"[[0.]
 [0.]]",kbcm,-0.5,0.9,
33,0.5,0.0004838248712450808,"[[ 0  0  0 ... 49 49 49]
 [ 4  5  6 ... 43 44 45]]","[[501.3626432]
 [501.3626432]]",kbcm,-0.5,0.05,
34,0.5,0.000491604523138967,"[[ 0  0  0 ... 49 49 49]
 [ 5  6  7 ... 42 43 44]]","[[496.7335805 ]
 [496.64298042]]",kbcm,-0.5,0.075,
35,0.5,0.0005038143084778939,"[[ 0  0  0 ... 49 49 49]
 [ 6  7  8 ... 41 42 43]]","[[490.42149261]
 [490.39986714]]",kbcm,-0.5,0.1,
36,0.5,0.0005290441198378634,"[[ 0  0  0 ... 49 49 49]
 [ 7  8  9 ... 39 40 41]]","[[481.06720301]
 [480.91640657]]",kbcm,-0.5,0.25,
37,0.5,0.000507816903440005,"[[ 0  0  0 ... 49 49 49]
 [ 3  4  5 ... 44 45 46]]","[[503.47740764]
 [503.47740764]]",kbcm,-0.5,0.4,
38,0.5,0.0004940022130069658,"[[ 0  0  0 ... 49 49 49]
 [ 0  1  2 ... 47 48 49]]","[[510.2082908]
 [510.2082908]]",kbcm,-0.5,0.5,
39,0.5,0.0004824931292764004,"[[ 0  0  0 ... 49 49 49]
 [ 0  1  2 ... 47 48 49]]","[[510.2082908]
 [510.2082908]]",kbcm,-0.5,0.6,
40,0.5,,[],"[[0.]
 [0.]]",kbcm,-0.5,0.9,
41,1.0,0.00046521043722908066,"[[ 0  0  0 ... 49 49 49]
 [ 3  4  5 ... 45 46 47]]","[[505.66661094]
 [505.66836959]]",kbcm,-0.5,0.05,
42,1.0,0.000473981518749361,"[[ 0  0  0 ... 49 49 49]
 [ 4  5  6 ... 44 45 46]]","[[502.19007286]
 [502.1222496 ]]",kbcm,-0.5,0.075,
43,1.0,0.0004892683751612457,"[[ 0  0  0 ... 49 49 49]
 [ 5  6  7 ... 42 43 44]]","[[497.19865245]
 [497.19865245]]",kbcm,-0.5,0.1,
44,1.0,0.0005262790267697973,"[[ 0  0  0 ... 49 49 49]
 [ 7  8  9 ... 40 41 42]]","[[484.32784265]
 [484.32943334]]",kbcm,-0.5,0.25,
45,1.0,0.0005072065269559777,"[[ 0  0  0 ... 49 49 49]
 [ 3  4  5 ... 44 45 46]]","[[503.47740764]
 [503.47740764]]",kbcm,-0.5,0.4,
46,1.0,0.0004939348116517685,"[[ 0  0  0 ... 49 49 49]
 [ 0  1  2 ... 47 48 49]]","[[510.2082908]
 [510.2082908]]",kbcm,-0.5,0.5,
47,1.0,0.00048271822438674376,"[[ 0  0  0 ... 49 49 49]
 [ 0  1  2 ... 47 48 49]]","[[510.2082908]
 [510.2082908]]",kbcm,-0.5,0.6,
48,1.0,,[],"[[0.]
 [0.]]",kbcm,-0.5,0.9,
49,0.0,,[],"[[0.]
 [0.]]",debiased_sinkhorn,,,0.001
50,0.0,4.684771190626721,"[[18 18 18 18 18 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 21 21 21 21
  21 21 21 21 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 24 24 24 24
  24 24 24 25 25 25 25 25 25]
 [26 27 28 29 30 25 26 27 28 29 30 31 24 25 26 27 28 29 30 31 24 25 26 27
  28 29 30 31 24 25 26 27 28 29 30 31 24 25 26 27 28 29 30 31 25 26 27 28
  29 30 31 25 26 27 28 29 30]]","[[11.44628952]
 [11.28420725]]",debiased_sinkhorn,,,0.01
51,0.0,5.023862988868568,"[[18 18 18 18 19 19 19 19 19 19 19 20 20 20 20 20 20 20 21 21 21 21 21 21
  21 21 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 24 24 24 24 24 24 24
  25 25 25 25 25]
 [26 27 28 29 25 26 27 28 29 30 31 25 26 27 28 29 30 31 24 25 26 27 28 29
  30 31 24 25 26 27 28 29 30 31 25 26 27 28 29 30 31 25 26 27 28 29 30 31
  26 27 28 29 30]]","[[10.79395358]
 [10.34681612]]",debiased_sinkhorn,,,0.015
52,0.0,5.172919498917333,"[[18 18 18 19 19 19 19 19 19 20 20 20 20 20 20 20 21 21 21 21 21 21 21 22
  22 22 22 22 22 22 23 23 23 23 23 23 23 24 24 24 24 24 24 24 25 25 25 25]
 [27 28 29 25 26 27 28 29 30 25 26 27 28 29 30 31 25 26 27 28 29 30 31 25
  26 27 28 29 30 31 25 26 27 28 29 30 31 25 26 27 28 29 30 31 26 27 28 29]]","[[10.03120132]
 [ 9.12357295]]",debiased_sinkhorn,,,0.025
53,0.0,6.445801328895815,"[[19 19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 22 23 23 23
  23 23 23 24 24 24 24]
 [26 27 28 29 26 27 28 29 30 25 26 27 28 29 30 25 26 27 28 29 30 25 26 27
  28 29 30 26 27 28 29]]","[[6.23207106]
 [6.06417295]]",debiased_sinkhorn,,,0.05
54,0.0,6.721458652359097,"[[19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23
  23 24 24 24 24]
 [27 28 29 26 27 28 29 30 25 26 27 28 29 30 25 26 27 28 29 30 26 27 28 29
  30 26 27 28 29]]","[[5.87513756]
 [5.64770323]]",debiased_sinkhorn,,,0.075
55,0.0,6.737628219384872,"[[19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23
  23 24 24 24 24]
 [27 28 29 26 27 28 29 30 25 26 27 28 29 30 25 26 27 28 29 30 26 27 28 29
  30 26 27 28 29]]","[[5.87513756]
 [5.64770323]]",debiased_sinkhorn,,,0.1
56,0.0,6.654097157396722,"[[19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 22 23 23 23 23
  23 24 24 24 24]
 [27 28 29 26 27 28 29 30 25 26 27 28 29 30 25 26 27 28 29 30 26 27 28 29
  30 26 27 28 29]]","[[5.87513756]
 [5.64770323]]",debiased_sinkhorn,,,0.15
57,0.0,6.319427130093075,"[[19 19 19 19 20 20 20 20 20 21 21 21 21 21 21 22 22 22 22 22 22 23 23 23
  23 23 23 24 24 24 24]
 [26 27 28 29 26 27 28 29 30 25 26 27 28 29 30 25 26 27 28 29 30 25 26 27
  28 29 30 26 27 28 29]]","[[6.23207106]
 [6.06417295]]",debiased_sinkhorn,,,0.2
58,0.0,5.393294286001724,"[[19 19 19 19 19 20 20 20 20 20 20 21 21 21 21 21 21 21 22 22 22 22 22 22
  22 23 23 23 23 23 23 24 24 24 24 24 25]
 [26 27 28 29 30 25 26 27 28 29 30 25 26 27 28 29 30 31 25 26 27 28 29 30
  31 25 26 27 28 29 30 26 27 28 29 30 28]]","[[7.24289027]
 [7.51754704]]",debiased_sinkhorn,,,0.3
59,0.0,2.434667486369968,"[[21 21 21 21 21 21 22 22 22 22 22 22 22 22 23 23 23 23 23 23 23 23 24 24
  24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26
  26 26 26 26 27 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 29 29 29 29
  29 29]
 [21 22 23 24 25 26 20 21 22 23 24 25 26 27 20 21 22 23 24 25 26 27 19 20
  21 22 23 24 25 26 27 28 19 20 21 22 23 24 25 26 27 28 19 20 21 22 23 24
  25 26 27 28 20 21 22 23 24 25 26 27 20 21 22 23 24 25 26 27 21 22 23 24
  25 26]]","[[14.49137675]
 [15.00833102]]",debiased_sinkhorn,,,0.5
