,noise level,max amplitude,above-thld pixels,above-thld pixels std,algorithm,c,reg,eps
147,0.0,0.739976635641598,"[[17 17 17 17 17 17 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19
  19 19 19 19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 21 21 21 21 21 21
  21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22
  22 22 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24
  24 24 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25
  25 25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26
  26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28
  28 28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 29 29
  29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31 31 31 31
  31 31 31 31 32 32 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33]
 [21 22 23 24 25 26 19 20 21 22 23 24 25 26 27 28 18 19 20 21 22 23 24 25
  26 27 28 29 17 18 19 20 21 22 23 24 25 26 27 28 29 30 16 17 18 19 20 21
  22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21 22 23 24 25 26 27 28 29
  30 31 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 15 16 17 18 19
  20 21 22 23 24 25 26 27 28 29 30 31 32 15 16 17 18 19 20 21 22 23 24 25
  26 27 28 29 30 31 32 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
  32 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21
  22 23 24 25 26 27 28 29 30 31 16 17 18 19 20 21 22 23 24 25 26 27 28 29
  30 31 17 18 19 20 21 22 23 24 25 26 27 28 29 30 18 19 20 21 22 23 24 25
  26 27 28 29 19 20 21 22 23 24 25 26 27 28 20 21 22 23 24 25 26 27]]","[[46.96234859]
 [47.97022886]]",entropic_regularized,,4.0,
148,0.05,4.141414122733217e-11,"[[39 39 39 39 40 40 40 44]
 [38 39 40 41 38 39 40 42]]","[[3.16227766]
 [2.63391344]]",entropic_regularized,,0.04,
149,0.05,2.36323702080022e-06,"[[23 23 23 24 24 24 24 25 25]
 [25 26 27 24 25 26 27 25 26]]","[[1.56347192]
 [2.        ]]",entropic_regularized,,0.4,
150,0.05,2.36323702080022e-06,"[[23 23 23 24 24 24 24 25 25]
 [25 26 27 24 25 26 27 25 26]]","[[1.56347192]
 [2.        ]]",entropic_regularized,,4.0,
151,0.1,4.038630910274391e-11,"[[25 25 26 27 28 28 29]
 [38 39 37 37 37 38 37]]","[[2.72554058]
 [1.36277029]]",entropic_regularized,,0.04,
152,0.1,9.956348119718793e-07,"[[22 23 23 24 24 24 25]
 [24 23 24 23 24 25 25]]","[[1.69030851]
 [1.41421356]]",entropic_regularized,,0.4,
153,0.1,9.956348119718793e-07,"[[22 23 23 24 24 24 25]
 [24 23 24 23 24 25 25]]","[[1.69030851]
 [1.41421356]]",entropic_regularized,,4.0,
154,0.2,2.2034638669524013e-11,"[[35 35 36 36 36 37 37]
 [13 25 12 13 14 12 13]]","[[1.41421356]
 [8.05339325]]",entropic_regularized,,0.04,
155,0.2,2.4919493148334145e-11,"[[25 25 25 26 26 27]
 [22 23 24 23 24 23]]","[[1.29099445]
 [1.19023807]]",entropic_regularized,,0.4,
156,0.2,2.4919493148334145e-11,"[[25 25 25 26 26 27]
 [22 23 24 23 24 23]]","[[1.29099445]
 [1.19023807]]",entropic_regularized,,4.0,
157,0.5,1.247443354722112e-12,"[[33 33 34 34 35 35 36 36]
 [13 14 13 14 16 17 21 22]]","[[2.23606798]
 [6.61437828]]",entropic_regularized,,0.04,
158,0.5,2.437401104260423e-11,"[[26 26 26]
 [21 22 23]]","[[0.]
 [1.]]",entropic_regularized,,0.4,
159,0.5,2.437401104260423e-11,"[[26 26 26]
 [21 22 23]]","[[0.]
 [1.]]",entropic_regularized,,4.0,
160,1.0,2.2125305438338225e-12,"[[29 30]
 [32 32]]","[[0.5]
 [0. ]]",entropic_regularized,,0.04,
161,1.0,2.7128885108297307e-09,"[[24 25]
 [24 24]]","[[0.5]
 [0. ]]",entropic_regularized,,0.4,
162,1.0,2.7128885108297307e-09,"[[24 25]
 [24 24]]","[[0.5]
 [0. ]]",entropic_regularized,,4.0,
