,noise_level,algorithm,above-thld_pixels,max_amplitude,eta,intensity,outer-inner,reg,samples,iters,epsilon,iter
402,1.0,Debiased Sinkhorn,7.0,0.1154098631798583,,minmax,,,,,0.5,750.0
403,1.0,Debiased Sinkhorn,7.0,0.11011488252858427,,minmax,,,,,0.7,1000.0
404,1.0,Debiased Sinkhorn,7.0,0.1102098943441253,,minmax,,,,,0.7,100.0
405,1.0,Debiased Sinkhorn,7.0,0.11011488252858427,,minmax,,,,,0.7,750.0
445,1.0,Entropic Regularized,7.0,0.0004663360721724796,,,,0.05,,,,
446,1.0,Entropic Regularized,7.0,0.0004497839527953117,,,,0.1,,,,
447,1.0,Entropic Regularized,7.0,0.00043432228382926977,,,,0.5,,,,
448,1.0,Entropic Regularized,7.0,0.00043290293199800263,,,,0.75,,,,
449,1.0,Entropic Regularized,7.0,0.0004381299964598857,,,,1.0,,,,
450,1.0,Entropic Regularized,7.0,0.0004480836411384167,,,,4.0,,,,
312,1.0,KBCM,7.0,0.0007015246523679267,,,,0.001,5.0,100.0,,
313,1.0,KBCM,7.0,0.0007015246523679267,,,,0.001,5.0,100.0,,
314,1.0,KBCM,7.0,0.000585855868819295,,,,0.01,5.0,100.0,,
315,1.0,KBCM,7.0,0.000585855868819295,,,,0.01,5.0,100.0,,
316,1.0,KBCM,7.0,0.0004920296391956681,,,,0.05,5.0,100.0,,
317,1.0,KBCM,7.0,0.0004920296391956681,,,,0.05,5.0,100.0,,
318,1.0,KBCM,7.0,0.0005071391792249416,,,,0.1,5.0,100.0,,
319,1.0,KBCM,7.0,0.0005071391792249416,,,,0.1,5.0,100.0,,
320,1.0,KBCM,7.0,0.000522165200282918,,,,0.25,5.0,100.0,,
321,1.0,KBCM,7.0,0.000522165200282918,,,,0.25,5.0,100.0,,
322,1.0,KBCM,7.0,0.0004982104586654423,,,,0.4,5.0,100.0,,
323,1.0,KBCM,7.0,0.0004982104586654423,,,,0.4,5.0,100.0,,
324,1.0,KBCM,7.0,0.0004837970497005999,,,,0.5,5.0,100.0,,
325,1.0,KBCM,7.0,0.0004837970497005999,,,,0.5,5.0,100.0,,
326,1.0,KBCM,7.0,0.0004720739498584045,,,,0.6,5.0,100.0,,
327,1.0,KBCM,7.0,0.0004720739498584045,,,,0.6,5.0,100.0,,
192,1.0,TLp,7.0,0.000814732911775255,0.001,minmax,10-100,0.001,5.0,,,
193,1.0,TLp,7.0,0.000814732911775255,0.001,zeroone,10-100,0.001,5.0,,,
194,1.0,TLp,7.0,0.000814738292938085,0.05,minmax,10-100,0.001,5.0,,,
195,1.0,TLp,7.0,0.000814738292938085,0.05,zeroone,10-100,0.001,5.0,,,
196,1.0,TLp,7.0,0.0008147437842298863,0.1,minmax,10-100,0.001,5.0,,,
197,1.0,TLp,7.0,0.0008147437842298863,0.1,zeroone,10-100,0.001,5.0,,,
198,1.0,TLp,7.0,0.0008148097041138472,0.7,minmax,10-100,0.001,5.0,,,
199,1.0,TLp,7.0,0.0008148097041138472,0.7,zeroone,10-100,0.001,5.0,,,
200,1.0,TLp,7.0,0.0005894512794079519,0.001,minmax,10-100,0.01,5.0,,,
201,1.0,TLp,7.0,0.0005894512794079519,0.001,zeroone,10-100,0.01,5.0,,,
202,1.0,TLp,7.0,0.0005894515628257895,0.05,minmax,10-100,0.01,5.0,,,
203,1.0,TLp,7.0,0.0005894515628257895,0.05,zeroone,10-100,0.01,5.0,,,
204,1.0,TLp,7.0,0.0005894518520292643,0.1,minmax,10-100,0.01,5.0,,,
205,1.0,TLp,7.0,0.0005894518520292643,0.1,zeroone,10-100,0.01,5.0,,,
206,1.0,TLp,7.0,0.0005894553225952908,0.7,minmax,10-100,0.01,5.0,,,
207,1.0,TLp,7.0,0.0005894553225952908,0.7,zeroone,10-100,0.01,5.0,,,
208,1.0,TLp,7.0,0.0004925025441911096,0.001,minmax,10-100,0.05,5.0,,,
209,1.0,TLp,7.0,0.0004925025441911096,0.001,zeroone,10-100,0.05,5.0,,,
210,1.0,TLp,7.0,0.0004925025654574724,0.05,minmax,10-100,0.05,5.0,,,
211,1.0,TLp,7.0,0.0004925025654574724,0.05,zeroone,10-100,0.05,5.0,,,
212,1.0,TLp,7.0,0.0004925025871578459,0.1,minmax,10-100,0.05,5.0,,,
213,1.0,TLp,7.0,0.0004925025871578459,0.1,zeroone,10-100,0.05,5.0,,,
214,1.0,TLp,7.0,0.0004925030134417338,0.7,minmax,10-100,0.05,5.0,,,
215,1.0,TLp,7.0,0.0004925030134417338,0.7,zeroone,10-100,0.05,5.0,,,
216,1.0,TLp,7.0,0.000507900050965679,0.001,minmax,10-100,0.1,5.0,,,
217,1.0,TLp,7.0,0.000507900050965679,0.001,zeroone,10-100,0.1,5.0,,,
218,1.0,TLp,7.0,0.0005079000652375639,0.05,minmax,10-100,0.1,5.0,,,
219,1.0,TLp,7.0,0.0005079000652375639,0.05,zeroone,10-100,0.1,5.0,,,
220,1.0,TLp,7.0,0.0005079000798007113,0.1,minmax,10-100,0.1,5.0,,,
221,1.0,TLp,7.0,0.0005079000798007113,0.1,zeroone,10-100,0.1,5.0,,,
222,1.0,TLp,7.0,0.0005079002545585096,0.7,minmax,10-100,0.1,5.0,,,
223,1.0,TLp,7.0,0.0005079002545585096,0.7,zeroone,10-100,0.1,5.0,,,
224,1.0,TLp,7.0,0.00048613069994212833,0.001,minmax,10-100,0.5,5.0,,,
225,1.0,TLp,7.0,0.00048613069994212833,0.001,zeroone,10-100,0.5,5.0,,,
226,1.0,TLp,7.0,0.00048613070229762265,0.05,minmax,10-100,0.5,5.0,,,
227,1.0,TLp,7.0,0.00048613070229762265,0.05,zeroone,10-100,0.5,5.0,,,
228,1.0,TLp,7.0,0.00048613070470118806,0.1,minmax,10-100,0.5,5.0,,,
229,1.0,TLp,7.0,0.00048613070470118806,0.1,zeroone,10-100,0.5,5.0,,,
230,1.0,TLp,7.0,0.00048613073354397473,0.7,minmax,10-100,0.5,5.0,,,
231,1.0,TLp,7.0,0.00048613073354397473,0.7,zeroone,10-100,0.5,5.0,,,
232,1.0,TLp,7.0,0.00045048853703542365,0.001,minmax,10-100,0.9,5.0,,,
233,1.0,TLp,7.0,0.00045048853703542365,0.001,zeroone,10-100,0.9,5.0,,,
234,1.0,TLp,7.0,0.00045048853787197404,0.05,minmax,10-100,0.9,5.0,,,
235,1.0,TLp,7.0,0.00045048853787197404,0.05,zeroone,10-100,0.9,5.0,,,
236,1.0,TLp,7.0,0.000450488538725596,0.1,minmax,10-100,0.9,5.0,,,
237,1.0,TLp,7.0,0.000450488538725596,0.1,zeroone,10-100,0.9,5.0,,,
238,1.0,TLp,7.0,0.0004504885489690657,0.7,minmax,10-100,0.9,5.0,,,
239,1.0,TLp,7.0,0.0004504885489690657,0.7,zeroone,10-100,0.9,5.0,,,
