noise_level,max_amplitude,center_distance,above-thld_pixels,above-thld_pixels_std,algorithm,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
0.1,0.0012278060573551962,[23.43508798 25.89888665],408,"[[80.10871902]
 [82.63971384]]",TLp-BI,0.05,minmax,10-100,0.05,5.0,,,,
0.1,0.0012278060573551962,[23.43508798 25.89888665],408,"[[80.10871902]
 [82.63971384]]",TLp-BI,0.05,zeroone,10-100,0.05,5.0,,,,
0.1,0.001227812702900343,[23.43508797 25.89888649],408,"[[80.10871902]
 [82.63971384]]",TLp-BI,0.1,minmax,10-100,0.05,5.0,,,,
0.1,0.001227812702900343,[23.43508797 25.89888649],408,"[[80.10871902]
 [82.63971384]]",TLp-BI,0.1,zeroone,10-100,0.05,5.0,,,,
0.1,0.0012278911302555811,[23.43508778 25.89888491],408,"[[80.10871902]
 [82.63971384]]",TLp-BI,0.7,minmax,10-100,0.05,5.0,,,,
0.1,0.0012278911302555811,[23.43508778 25.89888491],408,"[[80.10871902]
 [82.63971384]]",TLp-BI,0.7,zeroone,10-100,0.05,5.0,,,,
0.1,0.0007517145771582431,[23.50113556 25.83618457],955,"[[188.39684638]
 [192.64454694]]",TLp-BI,0.001,minmax,10-100,0.1,5.0,,,,
0.1,0.0007517145771582431,[23.50113556 25.83618457],955,"[[188.39684638]
 [192.64454694]]",TLp-BI,0.001,zeroone,10-100,0.1,5.0,,,,
0.1,0.0007517157786345293,[23.50113557 25.83618452],955,"[[188.39684638]
 [192.64454694]]",TLp-BI,0.05,minmax,10-100,0.1,5.0,,,,
0.1,0.0007517157786345293,[23.50113557 25.83618452],955,"[[188.39684638]
 [192.64454694]]",TLp-BI,0.05,zeroone,10-100,0.1,5.0,,,,
0.1,0.000751716919138502,[23.50113559 25.83618452],955,"[[188.39684638]
 [192.64454694]]",TLp-BI,0.1,minmax,10-100,0.1,5.0,,,,
0.1,0.000751716919138502,[23.50113559 25.83618452],955,"[[188.39684638]
 [192.64454694]]",TLp-BI,0.1,zeroone,10-100,0.1,5.0,,,,
0.1,0.0007517306058078566,[23.51268715 25.83256967],954,"[[188.03473295]
 [192.60992396]]",TLp-BI,0.7,minmax,10-100,0.1,5.0,,,,
0.1,0.0007517306058078566,[23.51268715 25.83256967],954,"[[188.03473295]
 [192.60992396]]",TLp-BI,0.7,zeroone,10-100,0.1,5.0,,,,
0.1,0.00027661872089134885,[24.32574148 24.75036901],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,minmax,10-100,0.5,5.0,,,,
0.1,0.00027661872089134885,[24.32574148 24.75036901],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.001,zeroone,10-100,0.5,5.0,,,,
0.1,0.00027661877275578575,[24.32574145 24.75036906],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,minmax,10-100,0.5,5.0,,,,
0.1,0.00027661877275578575,[24.32574145 24.75036906],2500,"[[510.2082908]
 [510.2082908]]",TLp-BI,0.05,zeroone,10-100,0.5,5.0,,,,
